biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2020-49 & 2020-50,hxbfa2e0c0454a1d36d1ed8ccc6ac4d3a333366c47,361.8231,30,3,0,220.9751,3.6225,9.779002703,0.00%,61.07%,1.00%,2.70%,1
2020-49 & 2020-50,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,50493.7999,28,2,0,5744.059,1517.9659,1683.126663,0.00%,11.38%,3.01%,3.33%,1
2020-49 & 2020-50,hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,46810.6575,26,2,706.9289,4415.9573,1503.8408,1800.409904,1.51%,9.43%,3.21%,3.85%,1
2020-49 & 2020-50,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.87555,2.00%,8.00%,4.00%,3.85%,1
2020-49 & 2020-50,hx7301714168f31c464fd766bad237b9a99c14824c,3029.9643,25,2,103.9943,134.3819,134.3819,121.198572,3.43%,4.44%,4.44%,4.00%,1
2020-49 & 2020-50,hxf159b2029f3d6e8823157033ada47b76e8903a4f,630.4624975,25,2,1.37196195,64.93149732,20.76282793,25.2184999,0.22%,10.30%,3.29%,4.00%,1
2020-49 & 2020-50,hxcaf3a1285478520ad520d34d470aed54d49c4774,23432.8644,24,2,301.7483,3702.6113,845.68175,976.36935,1.29%,15.80%,3.61%,4.17%,1
2020-49 & 2020-50,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,10160.9373,23,2,196.1896,810.0657,392.2957,441.7798826,1.93%,7.97%,3.86%,4.35%,1
2020-49 & 2020-50,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.9584348,2.00%,15.00%,3.00%,4.35%,1
2020-49 & 2020-50,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,244.4239,23,2,4.549,29.8749,10,10.62712609,1.86%,12.22%,4.09%,4.35%,1
2020-49 & 2020-50,hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,7587.163242,23,2,139.9610484,730.2312067,258.4896597,329.8766627,1.84%,9.62%,3.41%,4.35%,1
2020-49 & 2020-50,hx6aee4d81a36e730ef217616542ed7c654829ead2,2999.0093,23,2,59.9801,180.2131,120.1421,130.3917087,2.00%,6.01%,4.01%,4.35%,1
2020-49 & 2020-50,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.0433,23,2,6.2176,86.089,20,20.7844913,1.30%,18.01%,4.18%,4.35%,1
2020-49 & 2020-50,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,38374.6756,22,2,745.6016,3807.4334,1864.0039,1744.303436,1.94%,9.92%,4.86%,4.55%,1
