,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2023-10-05,9891.0,2630.0,42987.0,2852.0,4814.0,1238.0,987.0,1683.0,86.0,93.10017649999992
2023-10-06,10080.0,2737.0,43010.0,2892.0,5199.0,1097.0,892.0,1879.0,100.0,97.46986572499989
2023-10-07,9451.0,2768.0,43131.0,2558.0,4988.0,977.0,928.0,1676.0,81.0,104.5882066249999
2023-10-08,10332.0,2549.0,43160.0,2719.0,5235.0,1497.0,881.0,1788.0,87.0,177.1503006874999
2023-10-09,11577.0,3294.0,43153.0,2999.0,5535.0,1847.0,1196.0,1972.0,90.0,149.14927712499986
2023-10-10,10582.0,2942.0,43156.0,2805.0,5304.0,1474.0,999.0,1929.0,94.0,104.92783408749989
2023-10-11,9721.0,2365.0,43097.0,2963.0,5033.0,910.0,815.0,1773.0,92.0,93.2128081124999
2023-10-12,10519.0,2559.0,43172.0,3360.0,5068.0,1081.0,1010.0,1889.0,85.0,91.3103652124999
2023-10-13,10449.0,2449.0,43147.0,2998.0,5185.0,1209.0,1057.0,1686.0,92.0,128.6910364249999
2023-10-14,9230.0,2103.0,43132.0,2713.0,4623.0,823.0,1071.0,1713.0,86.0,77.5212582249999
2023-10-15,11147.0,2765.0,43049.0,3731.0,5221.0,1279.0,916.0,1839.0,99.0,119.14717644999989
2023-10-16,11098.0,2838.0,43116.0,3032.0,5417.0,1336.0,1313.0,1879.0,90.0,115.43630674999989
2023-10-17,16296.0,8302.0,43139.0,3353.0,6485.0,1177.0,5281.0,5727.0,85.0,171.58121381249987
2023-10-18,15620.0,7144.0,43130.0,3266.0,5567.0,1346.0,5441.0,5136.0,95.0,132.73797057499988
2023-10-19,15524.0,7238.0,43146.0,3366.0,5284.0,1365.0,5509.0,5017.0,101.0,144.2630858374999
2023-10-20,18154.0,9308.0,43116.0,3291.0,7399.0,1743.0,5721.0,5791.0,99.0,191.46461667499983
2023-10-21,15667.0,7362.0,43109.0,3027.0,5372.0,1740.0,5528.0,5157.0,96.0,192.57058716249992
2023-10-22,15180.0,7128.0,43140.0,2985.0,5323.0,1404.0,5468.0,5120.0,102.0,176.1396497749999
2023-10-23,17122.0,8012.0,43080.0,3074.0,5699.0,2029.0,6320.0,5119.0,97.0,166.33208429999988
2023-10-24,16846.0,7815.0,43132.0,2867.0,6072.0,2225.0,5682.0,5329.0,101.0,185.39373233749987
2023-10-25,16121.0,7694.0,43175.0,2882.0,5669.0,1901.0,5669.0,5183.0,101.0,175.18328624999987
2023-10-26,15924.0,7815.0,43170.0,2902.0,5652.0,1852.0,5518.0,5184.0,103.0,165.09795082499988
2023-10-27,13683.0,6752.0,43147.0,2727.0,4727.0,926.0,5303.0,4993.0,98.0,150.9839945374999
2023-10-28,14105.0,6903.0,43109.0,3023.0,4928.0,1027.0,5127.0,5088.0,93.0,120.93385944999989
2023-10-29,14081.0,6961.0,43143.0,2624.0,4902.0,1253.0,5302.0,4948.0,89.0,131.9541150124999
