to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
hx5c306b0d1246f100e21c804ad4cb2cee7ed30575,0.00375,3,unknown_hx,0,0,unknown_hx
hx3babc776977e217427137d19ab08e4bcb21c5da9,0.00375,3,unknown_hx,0,0,unknown_hx
hxe23aead6b51f807ace38f9c5fe56d38123ee0a01,0.00375,3,unknown_hx,0,0,unknown_hx
hx72ac73c4507f62a12410b0088ce3d651c344f8bf,0.00375,3,unknown_hx,0,0,unknown_hx
hxc20e598dbc78c2bfe149d3deddabe77a72412c92,0.00375,3,"binance
sweeper_08",0,0,binance
hx92930be6aa8a63554d25ebe9be86f351eba50437,0.00375,3,unknown_hx,0,0,unknown_hx
hx90365e48cbee8223fbe3541ef602c6c9709bb1dc,0.0038000000000000004,3,unknown_hx,0,0,unknown_hx
hxc457701ee8d2fbfaa39c62e36556549f0bd74d47,0.00375,3,unknown_hx,0,0,unknown_hx
hxc704bd8412e2d0cb592650081bf0a869a4b6f1cb,0.00375,3,unknown_hx,0,0,unknown_hx
hx8f5f2d958c958679f30a0825471c5c322885a104,0.00375,3,unknown_hx,0,0,unknown_hx
hxcb1dd59831a0c71252251f06ff758c45664d2eef,0.00375,3,unknown_hx,0,0,unknown_hx
hx519fdd9b78075ebb179ef8b4e75889b2c04b9167,0.00375,3,unknown_hx,0,0,unknown_hx
hx2863293164080a23612dd51d13e662d6780243a9,0.00375,3,unknown_hx,0,0,unknown_hx
hx6fbdaf628cded3789175f094395057614df493bc,0.00375,3,unknown_hx,0,0,unknown_hx
hxcbffc87eb1c44a9545cb18af43daa63efac1f23e,0.00375,3,unknown_hx,0,0,unknown_hx
hx32047f7abff5cc20f60eea9c7b91ee151f2221d8,0.00375,3,unknown_hx,0,0,unknown_hx
hx0a270bbc40f06910554729c04ffb45cbe9d19d44,0.00375,3,unknown_hx,0,0,unknown_hx
hxf8456c4e74b77971f2705f2179c90331d146f76a,0.00375,3,unknown_hx,0,0,unknown_hx
hx01a78bfb9f02c979dc0acb9cf198bb57ecc85a33,0.00375,3,unknown_hx,0,0,unknown_hx
hxea29380161a4fc7fd7d2be72d4f29fdb34f2df54,0.00375,3,unknown_hx,0,0,unknown_hx
hx0aec56d8483828c346554303aca60074f380ae45,0.00375,3,unknown_hx,0,0,unknown_hx
hx05bbcc7342cf9c868446b52193fc112807d63999,0.00375,3,unknown_hx,0,0,unknown_hx
cx2ec14b928b87ef5c1cbe0b9abda151ff088ba03c,0.006458,3,unknown_cx,0,0,unknown_cx
hxf459cb586d12e470b997d2a1ed6f58919b4e19ee,0.00375,3,unknown_hx,0,0,unknown_hx
cxc6bb033f9d0b2d921887040b0674e7ceec1b769c,0.007308,3,Lossless Lottery,4,0,Lossless Lottery
cx32b06547643fead9048ea912ba4c03419ee97052,0.007386,3,FutureICX,0,0,EPX
hxf179b2b5a36ac14a0fdb9b8d7bc10c1acc0ac0de,0.00375,3,unknown_hx,0,0,unknown_hx
hxbe81cf47f0dbf6b39caae2ae433f650d9353ec86,0.0025,2,unknown_hx,0,0,unknown_hx
