week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-39,hx1f8527706896d332d6c8437dff1c51590c72efa7,25034.9253,14,1,601.8645,4000.678,1875.2125,1788.20895,2.40410%,15.98039%,7.49039%,7.14286%
2020-39,hx4816f2d7e86cb5b5d39c6cba12ea549ba2586f00,128338.34259999999,14,1,8163.5226,10196.5815,9253.2459,9167.02447142857,6.36094%,7.94508%,7.21004%,7.14286%
2020-39,hx27e593c2c8ff3c162da0c27af2391df2778ce25a,30067.938000000002,14,1,1083.2160000000001,3230.7929,2082.48145,2147.7098571428573,3.60256%,10.74498%,6.92592%,7.14286%
2020-39,hx23957e7cfd6ad721f240e7fbb395e0d765fb9b36,6885.1357,14,1,19.952,1516.8606,457.21315000000004,491.79540714285713,0.28978%,22.03095%,6.64058%,7.14286%
2020-39,hx237f51a6f432458553cc22e5a2b82628aa2c31ab,2420.1577113426024,14,1,100.7238588871643,1009.4043628087019,107.41254875873962,172.86840795304303,4.16187%,41.70821%,4.43825%,7.14286%
2020-39,hx17de469300d89a6c725084947f753589ca621e87,139967.62669999996,14,1,3214.0501,15618.211599999999,9141.38515,9997.68762142857,2.29628%,11.15845%,6.53107%,7.14286%
2020-39,hx261bef2e1e9abac57941b8f45541afa25a9eacbb,411.4071,13,1,30.0,51.40710000000001,30.0,31.646700000000003,7.29205%,12.49543%,7.29205%,7.69231%
2020-39,hx6654384862ba2431c12575fd98e02a1ebe500d31,18628.8119,13,1,41.2648,3964.0424000000003,1462.7254,1432.9855307692308,0.22151%,21.27909%,7.85195%,7.69231%
2020-39,hxb38c61724a537235f9ce7b2fa1e498ce6b0bd0f9,18427.82038602917,13,1,45.67326183009513,2959.6704999999993,1708.1704999999997,1417.524645079167,0.24785%,16.06088%,9.26952%,7.69231%
2020-39,hxb819787d46162459576827b474cf816f16d69966,33428.092599999996,13,1,1664.0008,4992.0027,2329.6011,2571.3917384615384,4.97785%,14.93356%,6.96899%,7.69231%
2020-39,hx7616d8e5a76ac50c883393bd158df54578b61e73,24777.0,13,1,600.0,4000.0,2000.0,1905.923076923077,2.42160%,16.14400%,8.07200%,7.69231%
2020-39,hx3fe703490d6f0b30bf1e0aaf96bc7050597a943b,7237.677,13,1,48.7292,600.0000000000001,600.0,556.7443846153845,0.67327%,8.28995%,8.28995%,7.69231%
2020-39,hxc503ebb5a1d72d511e8924e9023437c82fee95b2,375000.0,13,1,12500.0,50000.0,25000.0,28846.153846153848,3.33333%,13.33333%,6.66667%,7.69231%
2020-39,hx864c5eec5eccb203772a322cd711ae7f5c8dec77,10017.084399999998,13,1,463.489,1052.2355000000002,819.4852999999999,770.5449538461537,4.62699%,10.50441%,8.18088%,7.69231%
2020-39,hx1858bb7d884b5a6a74ceaa63eca015ce184bc726,3189.1960656460337,13,1,19.8278,814.7835743907547,109.00000000000001,245.32277428046413,0.62172%,25.54824%,3.41779%,7.69231%
2020-39,hx6b91200ebf1df682e2ebeb0279b1bdb611d66257,1559.0,13,1,9.9,247.5,89.1,119.92307692307692,0.63502%,15.87556%,5.71520%,7.69231%
2020-39,hxce773241e990107283650688785b259ce7afc91a,129227.1608,13,1,9227.1608,10000.0,10000.0,9940.55083076923,7.14026%,7.73831%,7.73831%,7.69231%
2020-39,hx1817d865895f7c394891ab0ac15ed3cdb781611d,3429.999999999999,13,1,127.61764062368157,375.05101605876484,283.15327125929326,263.84615384615375,3.72063%,10.93443%,8.25520%,7.69231%
2020-39,hxd65454fc832f4257d9a786e41222ed03ae05edc1,2023.1207946286,13,1,105.99050199202529,393.0520838268712,134.833964135194,155.6246765098923,5.23896%,19.42801%,6.66465%,7.69231%
2020-39,hxd7d77e696b745549ff6d904e948dcf4930c7fd76,10947.0,13,1,634.8823529411,1276.7647058834991,809.0,842.0769230769231,5.79960%,11.66315%,7.39015%,7.69231%
2020-39,hx58b45678ec9a9087293617d95bc3f69e5b036f59,6824.1492,13,1,345.1249,685.4052,519.4871,524.9345538461538,5.05741%,10.04382%,7.61248%,7.69231%
2020-39,hxf7680b84aed887350194c26bd98996312020379f,50250.999999999505,13,1,3865.4615384614985,3865.4615384615004,3865.4615384615,3865.4615384615004,7.69231%,7.69231%,7.69231%,7.69231%
2020-39,hx2835a19c583698904afd1c77d99112a5b840e032,4270.6171,13,1,299.1238,341.963,341.5055,328.5090076923077,7.00423%,8.00734%,7.99663%,7.69231%
2020-39,hxb28391ccbbe4922c14614f844059d229c27a4809,887.8677,13,1,8.9229,132.4984,88.0392,68.29751538461538,1.00498%,14.92321%,9.91580%,7.69231%
2020-39,hx21633046abd1d663d236f9adb0adf4bdc340b8c0,12929.8502,12,1,1000.0,1929.8501999999999,1000.0,1077.4875166666668,7.73404%,14.92554%,7.73404%,8.33333%
2020-39,hx9cc63536e92722dab4c1f8cf146348d76d08acab,26769.4917,12,1,734.3895000000003,4964.7395,2275.2171500000004,2230.790975,2.74338%,18.54626%,8.49929%,8.33333%
2020-39,hxb106e5baab67f48c06149832a0a4baee97c9362a,11200.0,12,1,121.56410000000005,2000.0,1050.3485,933.3333333333334,1.08539%,17.85714%,9.37811%,8.33333%
2020-39,hx9824d726914f87720e579332e0baa24ee1543277,21310.8805,12,1,971.9142000000002,3175.2929999999997,1630.1156500000002,1775.9067083333332,4.56065%,14.89987%,7.64922%,8.33333%
2020-39,hxc54f2d3584b149ece803993969c73fb31bde304e,5237.5686,12,1,7.6753,4999.98,17.63595,436.46405,0.14654%,95.46376%,0.33672%,8.33333%
2020-39,hxc071ae3c92882a051ab328042e12a666419fe58a,131764.3255,12,1,5038.4007,20817.571299999996,9311.9257,10980.360458333334,3.82380%,15.79910%,7.06711%,8.33333%
2020-39,hxc1977e22673937ab9ec1c7d48a8d5750f2cde1dc,1439999.9999999998,12,1,0.0,300000.0,100000.0,110769.23076923075,0.00000%,20.83333%,6.94444%,7.69231%
2020-39,hxdeb908625fcab32473b9ab4798fb140bdd290324,853.9134,12,1,50.0,203.9134,50.0,71.15945,5.85539%,23.87987%,5.85539%,8.33333%
2020-39,hx14d6a3fbfddf0ac18225bb08f836139f05c1d7ad,448606.8308,12,1,29711.336499999998,40879.2165,38290.05780000002,37383.902566666664,6.62302%,9.11248%,8.53533%,8.33333%
2020-39,hxe79696489e108bc2a0b2f9253a241815179193e9,136447.1235,12,1,3000.0,30000.0,5000.0,11370.593625,2.19865%,21.98654%,3.66442%,8.33333%
2020-39,hxed5e0d1bade8dc01084d0a68e0d370c41c69465d,19664.6039,12,1,201.3108,2509.8032000000003,1718.3150999999998,1638.7169916666664,1.02372%,12.76305%,8.73811%,8.33333%
