biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2021-07 & 2021-08,hx3d62412ee8f0cae9d3bf8848e3439d9de8c9df34,75.54399999999998,59,5,1.2804067796610168,1.2804067796610168,1.2804067796610168,1.2804067796610166,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hx75d1378266036bf85dafab5dc1ce10217ce99cb3,248.9893749999997,59,5,4.220158898305085,4.220158898305085,4.220158898305085,4.22015889830508,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx49897ed99997a11889bdba3d7ef80863063d3158,746.0000000000006,59,5,12.64406779661017,12.64406779661017,12.64406779661017,12.644067796610178,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx024f0623a7e6a773d221a45c6e6ab1ffb3d2bbb7,2822.896957500002,59,5,0.0,47.8457111440678,47.84571114406779,43.42918396153849,0.00000%,1.69492%,1.69492%,1.53846%,yes
2021-07 & 2021-08,hx51ca803793372fda9f6faef9f6dc25e038e9ebaf,869.0578779700002,59,5,0.0,14.72979454186441,14.72979454186441,14.246850458524593,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx47d325b71d5f5149c3acd11350188f62a098a134,469.13656312999944,59,5,0.0,7.951467171694916,7.951467171694914,7.330258798906241,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx47fd52ad95cf559bd681770fcdc45e60e8466fd9,10.969545679999987,59,5,0.0,0.18592450305084746,0.1859245030508474,0.18282576133333311,0.00000%,1.69492%,1.69492%,1.66667%,not_enough
2021-07 & 2021-08,hxfacb5eb746e133fa1baed0359925cc351526b746,1144.3747837300002,59,5,0.0,19.396182775084746,19.396182775084746,17.880855995781253,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx6e38a0cf24ed327be6880f67c9c97e375d8adeec,1001.4368350999995,59,5,0.0,16.97350567966102,16.97350567966102,16.416997296721302,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx481b1cd5f723b90fdedb58b7bbb36667be98b5ad,906.6876163199987,59,5,0.0,15.36758671728814,15.367586717288132,14.16699400499998,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx702387b2703f9cb06719caebad10254f10ce6c5b,246.1094311599998,59,5,0.0,4.171346290847458,4.171346290847457,3.8454598618749967,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxfbd299362af9ddfcebc51e74510373fa43ae5e9a,1281.389173209999,59,5,0.0,21.718460562881358,21.71846056288135,20.021705831406234,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx4933d9c90a1575d9c5a749da37bd80b1bd1f5b97,174.96673306000022,59,5,0.0,2.9655378484745762,2.9655378484745762,2.7338552040625035,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxf7dc15916bcde4fc92254490e92f3973a26a0caf,1200.9703144000005,59,5,0.0,20.35542905762712,20.355429057627116,20.016171906666674,0.00000%,1.69492%,1.69492%,1.66667%,yes
2021-07 & 2021-08,hxfca411278555c1718c6fa2cfbaf4942bfd9a8f67,2011.9556502699986,59,5,0.0,34.10094322491527,34.100943224915255,31.43680703546873,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx6eecee13281463d4307fd7e5dc80e8cb6a4a11cb,906.2286436399986,59,5,0.0,15.359807519322032,15.359807519322032,15.10381072733331,0.00000%,1.69492%,1.69492%,1.66667%,yes
2021-07 & 2021-08,hx504725943782731eb4c5f7432f74ad9855dd768f,3585.854192979997,59,5,0.0,60.77718971152543,60.777189711525416,56.028971765312455,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx4a4b9eb3c3aa39934ab6a349e3cb32afdc628af2,75.21242608000003,59,5,1.2747868827118645,1.2747868827118645,1.2747868827118645,1.274786882711865,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hx4ae4a6465265295e4c60bd1dc5db9637b476fd48,2212.975515960001,59,5,0.0,37.50805959254237,37.50805959254237,36.27828714688526,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx4f436562cb4ea6594bcb3eb685aa02145f301d25,8.984677500000005,59,5,0.15228266949152539,0.15228266949152544,0.15228266949152539,0.15228266949152552,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hx4b1827a5642600a7ed445c3ceee7666d30701fbd,1793.9232799999997,59,5,30.405479322033894,30.405479322033894,30.405479322033894,30.405479322033894,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxff3664fb9e91b7fbc45f9ca1a307d7ae3b429c0c,48.98111000000004,59,5,0.8301883050847457,0.8301883050847457,0.8301883050847457,0.8301883050847464,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hx4b8f4cc99f5960a6d7b1d0cf66535b5dc370a66d,2663.4673092599996,59,5,0.0,45.143513716271194,45.14351371627119,43.66339851245901,0.00000%,1.69492%,1.69492%,1.63934%,yes
