validator,validator_name,rank,delegation,bond,power
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,27,2807750.192831267,159351.9931,2967102.185931267
hx31c429608c74501de13df5fea30bf1674460be50,Hugobyte,28,2743768.0350752184,150000.0,2893768.0350752184
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,29,1355730.2394816042,145297.454,1501027.6934816043
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,30,2549124.314500703,131419.7373,2628394.746
hx80a3bb927f9edc899f98eb46bd7a7c601da12980,Unifi Protocol,31,1672705.6997309695,130000.0,1802705.6997309695
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,32,2470670.6171437395,113202.3037,2264046.074
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,ICONoscope,33,1959327.696158824,105065.6299,2064393.326058824
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,34,1160064.6044512335,63377.1084,1223441.7128512335
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,35,1291886.796381116,60000.0,1200000.0
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,36,777174.8009734026,54998.0,832172.8009734026
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,37,662487.9607319218,50000.0,712487.9607319218
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),38,694321.306595698,43107.598,737428.904595698
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,39,742770.3828313639,42062.8021,784833.1849313639
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,Oasis,40,671352.5080319105,39455.0,710807.5080319105
hx5da9e862b4e26e5ac486c1d70d9d63927ce35e1c,Studio Mirai,41,1388981.9361180947,38260.9944,765219.888
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,42,585798.4095536921,35000.0,620798.4095536921
hx5b97bbec2e555289351806103833a465b7fbbd47,Blockmove,43,404249.77826383547,30100.0,434349.77826383547
hx55f2cc3244350085734f4e405f761ecf3d2095b3,Staked Tech,44,221953.41133875135,30000.0,251953.41133875135
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,45,459345.6270643751,25000.0,484345.6270643751
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,46,311145.3767658847,25000.0,336145.3767658847
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,PiconbelloDAO,47,281342.66422255925,20333.0017,301675.6659225593
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,48,335762.7273586803,20000.0,355762.7273586803
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,49,285510.85403351765,20000.0,305510.85403351765
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,50,275466.46324374445,20000.0,295466.46324374445
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,51,242538.98638818794,15495.892,258034.87838818794
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,52,238428.7744945071,15000.0,253428.7744945071
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Citadel.one,53,1797564.7817305054,13563.9615,271279.23
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},54,197090.71791924382,10000.0,200000.0
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,55,221336.10507807197,5000.0,100000.0
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,56,154994.92972580722,3912.8015,78256.03
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,57,11045709.604088765,0.0,0.0
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,58,4262900.931176909,0.0,0.0
hxb11448743cbb63fcf29609401cdc5782793be211,GPS Gaming,59,3096559.3475316875,0.0,0.0
