date,marketCap,icxCirculation,icxSupply,publicTreasury,iglobal
2021-01-29,487452822.0,585230464.0,874537520.0,7087313.0,
2021-01-30,474502805.0,585919641.0,874670581.0,7034409.0,
2021-01-31,452995328.0,586052207.0,874803820.0,7079610.0,
2021-02-01,450615063.0,586184548.0,874936797.0,6973179.0,
2021-02-02,448234798.0,586316890.0,875069775.0,6866749.0,
2021-02-03,451420548.0,586449731.0,875202616.0,6895357.0,
2021-02-04,469033162.0,586582687.0,875335572.0,6884719.0,
2021-02-05,457745912.0,586714773.0,875468891.0,6920230.0,
2021-02-06,469929459.0,586847870.0,875602416.0,6918970.0,
2021-02-07,463603644.0,586980630.0,875735560.0,6970854.0,
2021-02-08,467221469.0,587113047.0,875869175.0,7008609.0,
2021-02-09,488263708.0,587245880.0,876002491.0,7036004.0,
2021-02-10,532131125.0,587376635.0,876133531.0,6996297.0,
2021-02-11,535079084.0,587518649.0,876266638.0,6953679.0,
2021-02-12,771179804.0,587649186.0,876397568.0,6720041.0,
2021-02-13,782916529.0,587782524.0,876531184.0,6747244.0,
2021-02-14,947045349.0,587915212.0,876663950.0,6771113.0,
2021-02-15,858004361.0,588046810.0,876795661.0,6797733.0,
2021-02-16,1037372583.0,584591302.0,876927386.0,2870778.0,
2021-02-17,971754496.0,585006256.0,877060552.0,2821831.0,
2021-02-18,1101226726.0,585140761.0,877195162.0,2829349.0,
2021-02-19,1347633596.0,589964144.0,877468856.0,2710747.0,
2021-02-20,1296175741.0,590095856.0,877600624.0,2713383.0,
2021-02-21,1206683063.0,590227557.0,877732496.0,2752312.0,
2021-02-22,1020522806.0,590359867.0,877864857.0,2777026.0,
2021-02-23,829713558.0,590491402.0,877996889.0,2849626.0,
2021-02-24,995893744.0,590623237.0,878129069.0,2884059.0,
2021-02-25,1000444244.0,590754357.0,878260966.0,2930455.0,
2021-02-26,952739868.0,590886251.0,878393227.0,2955948.0,
2021-02-27,925188206.0,591017492.0,878525190.0,3018225.0,
2021-02-28,793630039.0,591148185.0,878656973.0,3055132.0,
2021-03-01,969702865.0,591279536.0,878788451.0,3022813.0,
2021-03-02,971368746.0,591785318.0,878919645.0,2977685.0,
2021-03-03,1063548639.0,591915989.0,879050886.0,2993687.0,
2021-03-04,1156257464.0,592046762.0,879182064.0,2974100.0,
2021-03-05,1084726283.0,592177999.0,879313456.0,3037288.0,
2021-03-06,1094947568.0,592309192.0,879444732.0,3109471.0,
2021-03-07,1152451227.0,592439996.0,879575617.0,3167018.0,
2021-03-08,1105841489.0,592571086.0,879706744.0,3187478.0,
2021-03-09,1148224782.0,592701807.0,879837533.0,3199728.0,
2021-03-10,1118837969.0,592832772.0,879968498.0,3237450.0,
2021-03-11,1125826895.0,592963860.0,880099702.0,3285059.0,
2021-03-12,1078767249.0,593094699.0,880230661.0,3307110.0,
2021-03-13,1091990060.0,593220331.0,880356815.0,3367038.0,
2021-03-14,1050932017.0,593351083.0,880487935.0,3413991.0,
2021-03-15,1134303643.0,593486220.0,880623191.0,3433209.0,
2021-03-16,1096263743.0,593617901.0,880754872.0,3475135.0,
2021-03-17,1099593759.0,593745940.0,880883671.0,3533988.0,
2021-03-18,1140996905.0,593875441.0,881013315.0,3604486.0,
2021-03-19,1171701361.0,594004848.0,881142917.0,3675989.0,
2021-03-20,1202101335.0,594116419.0,881254941.0,3703107.0,
2021-03-21,1172447109.0,594239070.0,881377819.0,3744835.0,
2021-03-22,1205024603.0,594368240.0,881507208.0,3688891.0,
2021-03-23,1134555321.0,594561938.0,881636703.0,3737768.0,
2021-03-24,1270200825.0,594691600.0,881766376.0,3772472.0,
2021-03-25,1096864533.0,594821387.0,881896163.0,3611937.0,
2021-03-26,1188921051.0,594951177.0,882025953.0,3681222.0,
2021-03-27,1281081181.0,595066559.0,882155750.0,3651216.0,
2021-03-28,1432844833.0,595195656.0,882285482.0,3633478.0,
2021-03-29,1500570329.0,595325319.0,882415180.0,3664953.0,
2021-03-30,1578583767.0,595455061.0,882544922.0,3662882.0,
2021-03-31,1805971233.0,595584039.0,882674384.0,3610474.0,
2021-04-01,1747197112.0,595713069.0,882803542.0,3592450.0,
2021-04-02,1612709848.0,595842546.0,882933153.0,3617043.0,
2021-04-03,1531263688.0,595970204.0,883060876.0,3684382.0,
2021-04-04,1629902898.0,596099936.0,883191119.0,3756492.0,
2021-04-05,1594925786.0,596229701.0,883320982.0,3747580.0,
2021-04-06,1495919028.0,596357854.0,883449135.0,3745927.0,
2021-04-07,1373656217.0,596488109.0,883579390.0,3789512.0,
2021-04-08,1477407504.0,596618259.0,883709924.0,3837136.0,
2021-04-09,1595784948.0,596748309.0,883840172.0,3821228.0,
2021-04-10,1536500152.0,596878609.0,883970472.0,3889673.0,
2021-04-11,1523164637.0,597009156.0,884101019.0,3950025.0,
2021-04-12,1591416555.0,597139537.0,884231400.0,3949962.0,
2021-04-13,1560623297.0,597269598.0,884361461.0,3995383.0,
2021-04-14,1438925717.0,597401086.0,884492949.0,4033444.0,
2021-04-15,1550968173.0,597532551.0,884624414.0,4087957.0,
2021-04-16,1561634647.0,597663943.0,884755805.0,4133137.0,
2021-04-17,1646706853.0,597795357.0,884887220.0,4161337.0,
2021-04-18,1372348048.0,597925746.0,885017936.0,4216112.0,
2021-04-19,1279497784.0,598057886.0,885150076.0,4241722.0,
2021-04-20,1299424643.0,598191077.0,885283379.0,4298770.0,
2021-04-21,1357935711.0,598321838.0,885414933.0,4284578.0,
2021-04-22,1299272806.0,598455224.0,885548486.0,4350646.0,
2021-04-23,1041302947.0,598588185.0,885681978.0,4428806.0,
2021-04-24,1009915643.0,598721506.0,885815460.0,4498462.0,
2021-04-25,1082228896.0,598855201.0,885949155.0,4552893.0,
2021-04-26,1205025848.0,598988355.0,886082333.0,3648030.0,
2021-04-27,1352771168.0,614119996.0,886214404.0,3654407.0,
2021-04-28,1379578318.0,614250122.0,886344564.0,3651117.0,
2021-04-29,1368048245.0,614380215.0,886475364.0,3687581.0,
2021-04-30,1623078801.0,614510874.0,886606042.0,3689552.0,
2021-05-01,1619751494.0,614640832.0,886736391.0,3672705.0,
2021-05-02,1597928995.0,622715753.0,886867602.0,3683214.0,
2021-05-03,1555006637.0,620952322.0,886997395.0,3683777.0,
2021-05-04,1380688025.0,620005696.0,887128317.0,3613271.0,
2021-05-05,1465752037.0,620137236.0,887259902.0,3665283.0,
2021-05-06,1565916497.0,620283293.0,887391876.0,3604030.0,
2021-05-07,1807907735.0,620413075.0,887521659.0,3635767.0,
2021-05-08,1653997213.0,620543410.0,887652088.0,3569422.0,
2021-05-09,1603056182.0,625494128.0,887782267.0,3633440.0,
2021-05-10,1605245723.0,624122641.0,887913714.0,3635800.0,
2021-05-11,1556344177.0,622351465.0,888044875.0,3618764.0,
2021-05-12,1430583542.0,622483225.0,888176635.0,3694677.0,
2021-05-13,1273045857.0,622615554.0,888308964.0,3782505.0,
2021-05-14,1373438470.0,622747004.0,888440414.0,3807932.0,
2021-05-15,1239465969.0,622878884.0,888572294.0,3906710.0,
2021-05-16,1289717812.0,627770354.0,888703903.0,3996009.0,
2021-05-17,1129521188.0,627610944.0,888835633.0,4006127.0,
2021-05-18,1220127596.0,627740670.0,888965359.0,4074128.0,
2021-05-19,859053898.0,627867978.0,889092667.0,4091361.0,
2021-05-20,843725123.0,627997074.0,889221763.0,4173730.0,
2021-05-21,780477832.0,628161143.0,889385839.0,4214039.0,
2021-05-22,715187313.0,628259945.0,889484654.0,4273513.0,
2021-05-23,560279457.0,627603317.0,889616143.0,4271319.0,
2021-05-24,696122476.0,624537799.0,889747682.0,3892550.0,
2021-05-25,694594124.0,623408087.0,889879661.0,3906721.0,
2021-05-26,798236340.0,621921431.0,890011757.0,3976895.0,
2021-05-27,790425773.0,621854185.0,890143724.0,4005770.0,
2021-05-28,694312897.0,621985626.0,890275207.0,4093556.0,
2021-05-29,610121896.0,622142053.0,890407135.0,4125360.0,
2021-05-30,676776051.0,631955304.0,890538455.0,4213337.0,
2021-05-31,693105771.0,630411595.0,890669791.0,4185057.0,
2021-06-01,689394695.0,628534436.0,890801725.0,4215602.0,
2021-06-02,769035166.0,627931351.0,890932376.0,4216284.0,
2021-06-03,785215547.0,628062515.0,891063773.0,4282311.0,
2021-06-04,730734653.0,628193657.0,891194983.0,4295751.0,
2021-06-05,690051938.0,628357818.0,891359419.0,4402266.0,
2021-06-06,720286076.0,628456329.0,891458098.0,4409691.0,
2021-06-07,710004046.0,628587351.0,891589429.0,4478096.0,
2021-06-08,587640974.0,628192320.0,891720359.0,3950830.0,
2021-06-09,658399430.0,628323077.0,891851238.0,3879242.0,
2021-06-10,629943320.0,628454311.0,891982472.0,3896849.0,
2021-06-11,575097067.0,628584153.0,892112610.0,3972047.0,
2021-06-12,568918425.0,628714710.0,892243290.0,3976590.0,
2021-06-13,571563164.0,628845523.0,892374267.0,4061633.0,
2021-06-14,610639493.0,628976418.0,892505227.0,4036716.0,
2021-06-15,712703621.0,629107590.0,892636399.0,4039070.0,
2021-06-16,649207247.0,634238977.0,892767786.0,4046145.0,
2021-06-17,694256175.0,634370071.0,892899183.0,4135893.0,
2021-06-18,628177492.0,634566915.0,893063325.0,4109046.0,
2021-06-19,635574271.0,634665118.0,893161794.0,4181109.0,
2021-06-20,591763357.0,634763520.0,893292763.0,4225097.0,
