date,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-12-29,hx40bc58ea43241b88e13e3e2b54db0eefa73108fd,147978.3437,19,1,291.0607,30647.567699999996,5362.606099999999,7788.333878947368,0.19669%,20.71085%,3.62391%,5.26316%
2020-12-29,hx179358d62f45c8327fab772dfc3bf08b8d5c1259,1635.2766,18,1,40.5453,170.0,76.98295000000002,90.8487,2.47942%,10.39579%,4.70764%,5.55556%
2020-12-29,hxbdd803c6b21e845f35cb7fdbd8fe04e483dc4df3,9053.544700000002,18,1,153.5447,900.0,500.0,502.97470555555566,1.69596%,9.94086%,5.52270%,5.55556%
2020-12-29,hx02d9625fede24e2378ab6e96cf354cb350992c65,5077.441,18,1,60.4853,451.8808,301.2539,282.08005555555553,1.19126%,8.89977%,5.93318%,5.55556%
2020-12-29,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,5987.817300000001,18,1,213.4852,500.0,300.0000000000001,332.6565166666667,3.56533%,8.35029%,5.01017%,5.55556%
2020-12-29,hx02e7a0938791fcbd5379740a3f7cdbd5c75c690e,4201.231,18,1,200.0,300.0,200.0,233.40172222222222,4.76051%,7.14076%,4.76051%,5.55556%
2020-12-29,hx6de349dbe155a21ee96dcf194d65f67f50ad2a74,31260.3607,18,1,499.99999999999955,1983.6597,1800.0,1736.6867055555556,1.59947%,6.34561%,5.75809%,5.55556%
2020-12-29,hx82a8319354bbdf73087c60a019563c980061f592,33652.6249,18,1,332.3311,5152.664100000001,1730.7436,1869.5902722222224,0.98753%,15.31133%,5.14297%,5.55556%
2020-12-29,hx35684b6a38b8e7b54ad385a2b986d09c8bc83f61,4744.441900000001,18,1,128.1256,857.0828,237.2695,263.5801055555556,2.70054%,18.06499%,5.00100%,5.55556%
2020-12-29,hx26907c177186f27613f85431237f3d68cf303528,41791.803400000004,18,1,1474.4764,4233.4072,2364.66005,2321.7668555555556,3.52815%,10.12975%,5.65819%,5.55556%
2020-12-29,hx5e46559dcbaf2107e562e3e5832ed7b384c8debe,31412.6619,17,1,999.8241,12412.837800000001,1000.0,1847.8036411764706,3.18287%,39.51540%,3.18343%,5.88235%
2020-12-29,hx53c974aa02514313dc3e5371d3703051e4825f3b,88756.7734,17,1,756.7734,8500.000000000002,2500.0,5220.986670588236,0.85264%,9.57673%,2.81669%,5.88235%
2020-12-29,hx5b038a80b468ed9b581f666bbcd01316f4782ba3,16277.0013,17,1,38.7422,2087.5647000000004,1123.5299,957.4706647058823,0.23802%,12.82524%,6.90256%,5.88235%
2020-12-29,hx442f62bda2157037af839c7075f43f16b2d4cc91,25728.4634,17,1,5.0,25003.4634,10.0,1513.4390235294118,0.01943%,97.18211%,0.03887%,5.88235%
2020-12-29,hxdeb908625fcab32473b9ab4798fb140bdd290324,886.6675,17,1,50.0,86.6675,50.0,52.15691176470588,5.63909%,9.77452%,5.63909%,5.88235%
2020-12-29,hxe3dd8785da38941b2d6893b027502a586be5edb1,1715.7296000000001,17,1,27.7731,361.3962,48.603,100.9252705882353,1.61873%,21.06370%,2.83279%,5.88235%
2020-12-29,hxf819c5e1cc4b3e48aab63cacf87b2f723d01ec7d,42414.0686,17,1,500.0,4000.0,3000.0,2494.9452117647056,1.17885%,9.43083%,7.07312%,5.88235%
2020-12-29,hx87455c62c2ef3f37496fb2fef0df86fdadada87c,166267.70190000001,17,1,6267.701900000001,10000.0,10000.0,9780.453052941177,3.76964%,6.01440%,6.01440%,5.88235%
2020-12-29,hx91b9df44a0679a85ff83199b5f66529a45bf2dbb,3069.5652999999998,17,1,120.6441,427.2503999999999,151.3103,180.56266470588233,3.93033%,13.91892%,4.92937%,5.88235%
2020-12-29,hx6b9dcbd1234b5f5317b04fc4bcfb31930d0d4895,573.8751,17,1,10.0,86.1359,34.4542,33.75735882352941,1.74254%,15.00952%,6.00378%,5.88235%
2020-12-29,hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,20271.0552,17,1,2.0,4061.2,906.922,1192.415011764706,0.00987%,20.03448%,4.47398%,5.88235%
2020-12-29,hxbae2c2c3b5461d945ea9d040c8287ab11d524c95,259.6757999999996,17,1,1.0,185.8403,1.8043000000000005,15.275047058823505,0.38510%,71.56628%,0.69483%,5.88235%
2020-12-29,hxc30aabbc541d3ad4019aa5675fc553549852130e,8788.5989,17,1,188.5989,1000.0,500.0,516.976405882353,2.14595%,11.37838%,5.68919%,5.88235%
2020-12-29,hxa4556d928cfabb02caa1f07078f579638b5d4357,13558.558415863294,17,1,48.01546206280515,3355.9136349088326,365.9875569930538,797.5622597566644,0.35413%,24.75126%,2.69931%,5.88235%
2020-12-29,hxac362b78a8ae5509660b50063cc3681679e6f68d,23402.5131,17,1,494.2055,2027.5797,1559.6767,1376.6184176470588,2.11176%,8.66394%,6.66457%,5.88235%
2020-12-29,hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,5034.9999999994,17,1,296.17647058819995,296.1764705882002,296.1764705882,296.1764705882,5.88235%,5.88235%,5.88235%,5.88235%
2020-12-29,hx10e196b23d1b042a6a1ff67931598458f8cef7f5,3017.0357999999997,17,1,30.0813,722.5695000000001,60.1626,177.47269411764705,0.99705%,23.94965%,1.99410%,5.88235%
2020-12-29,hx13c863c2f8839574d795c3c6cce1aab0bd4fcae4,124874.2638,16,1,608.5790999999999,29613.406,4539.1664,7804.6414875,0.48735%,23.71458%,3.63499%,6.25000%
2020-12-29,hx1a3690342bc1fbabae3362b56059d17b69b40915,3960.0,16,1,200.0,960.0,200.0,247.5,5.05051%,24.24242%,5.05051%,6.25000%
2020-12-29,hx7301714168f31c464fd766bad237b9a99c14824c,3061.3072999999995,16,1,153.06529999999998,214.2915,198.98505,191.33170624999997,5.00000%,7.00000%,6.50000%,6.25000%
