,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
89,2023-04-22,50377,234.6344604249999,15928,49922,66305,70304.85714285714,71084.8,290.255515455357,310.97356347041654
90,2023-04-23,49048,272.0649965999999,15423,50485,64471,69189.71428571429,71111.06666666667,271.690877867857,314.33556504374985
91,2023-04-24,52597,224.29990104999985,17526,51141,70123,68475.0,71279.53333333334,272.70030044642846,315.9405533866666
92,2023-04-25,51665,248.44803153749987,17097,50917,68762,68320.42857142857,71511.3,265.97409154642844,319.5419450816665
93,2023-04-26,50374,251.83257758749988,17035,51058,67409,67840.14285714286,71633.03333333334,252.90167471071416,322.39660567333317
94,2023-04-27,51271,241.64472974999987,17252,50590,68523,67692.42857142857,71643.36666666667,247.83264415714274,322.8849787979165
95,2023-04-28,49662,185.7131042499999,14152,49841,63814,67058.14285714286,71510.43333333333,236.9482573142856,322.2333196583332
96,2023-04-29,48695,118.74177661249988,11625,49456,60320,66203.14285714286,71337.73333333334,220.3921596267856,319.73910172249987
97,2023-04-30,48688,139.0035119749999,12043,49655,60731,65668.85714285714,71243.83333333333,201.38337610892842,319.3021634120832
98,2023-05-01,50149,181.80381258749983,16165,50316,66314,65124.71428571428,71103.0,195.3125063285713,317.50937075208327
99,2023-05-02,50613,241.39148858749988,15180,50089,65793,64700.57142857143,70180.8,194.30442876428557,304.8717426595832
100,2023-05-03,49709,164.9547227124999,13155,49787,62864,64051.28571428572,69949.13333333333,181.89330663928558,299.5770168733332
101,2023-05-04,48723,222.9305357124999,12880,49636,61603,63062.71428571428,69348.53333333334,179.21985034821415,286.94969249791654
102,2023-05-05,48856,146.3229604749999,12771,49718,61627,62750.28571428572,68151.9,173.59268695178562,262.14635604166654
103,2023-05-07,49292,198.17574563749992,11910,52248,61202,62876.28571428572,67169.83333333333,184.94039681249987,247.6090020887499
104,2023-05-08,51427,279.2591251624998,17251,49826,68678,64011.57142857143,67039.26666666666,204.97691298214275,242.60292384458322
105,2023-05-09,49559,310.7954923624999,14697,49682,64256,63717.57142857143,66673.56666666667,223.40429580714274,239.97057108916655
106,2023-05-10,50538,266.8526326624999,17308,50025,67846,64010.857142857145,66675.03333333334,227.0416021035713,240.07619624166654
107,2023-05-11,53933,223.47538631249984,14617,49908,68550,64823.142857142855,66763.26666666666,235.40169690357132,237.87923489166653
108,2023-05-12,48461,281.2946625124999,13393,49407,61854,64859.0,66556.4,243.7394293035713,240.4714752358332
109,2023-05-13,47839,124.30727108749991,11755,49898,59594,64568.57142857143,66308.6,240.59433081964272,237.2344273183332
110,2023-05-14,47879,157.6946609249999,13338,49949,61217,64570.71428571428,66151.13333333333,234.811318717857,235.75141229791654
111,2023-05-15,50625,172.98566774999986,15142,50101,65767,64154.857142857145,66135.8,219.62939623035706,231.71695303499985
112,2023-05-16,48719,209.34902677499988,14445,50094,63164,63998.857142857145,65887.2,205.13704400357133,229.83768096041655
113,2023-05-17,49051,187.4096312374999,14288,49985,63339,63355.0,65589.26666666666,193.78804379999988,222.68408667791655
114,2023-05-18,49016,194.84910124999988,15061,50390,64077,62716.0,65220.96666666667,189.69857450535704,221.93792528624988
115,2023-05-19,48948,170.99537811249988,13886,50272,62834,62856.0,64987.3,173.9415338767856,217.78672142874987
116,2023-05-20,47953,163.5669655374999,11632,49320,59585,62854.71428571428,64614.433333333334,179.550061655357,211.79430376541657
117,2023-05-21,48186,184.3774761249999,12182,50301,60368,62733.42857142857,64308.13333333333,183.36189239821417,208.70262151541655
118,2023-05-22,50023,181.29427428749983,15887,50236,65910,62753.857142857145,64230.0,184.5488361892856,206.01563691999988
119,2023-05-23,50178,343.42904236249984,18618,51136,68796,63558.42857142857,64313.03333333333,203.70312413035703,209.6421229845832
120,2023-05-24,49344,241.95706356249983,14918,49779,64262,63690.28571428572,64306.066666666666,211.49561446249987,208.63852521666655
121,2023-05-25,49537,155.58476587499987,13931,49567,63468,63603.28571428572,64084.23333333333,205.88642369464273,206.34802071083323
122,2023-05-26,49232,180.6872657624999,14397,50103,63629,63716.857142857145,63913.13333333333,207.27097907321416,204.08932851833322
123,2023-05-27,49533,183.11908384999987,14987,50079,64520,64421.857142857145,63816.833333333336,210.06413883214273,201.7988787270832
124,2023-05-28,49272,196.95455014999987,15064,50019,64336,64988.71428571428,63677.26666666667,211.860863692857,200.30920607374986
125,2023-05-29,49287,148.16491587499988,13996,49798,63283,64613.42857142857,63659.566666666666,207.128098205357,199.05759979458318
126,2023-05-30,51407,183.05719493749984,17255,50113,68662,64594.28571428572,63937.63333333333,184.21783428749987,201.20144707208323
