,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
169,2023-06-05,58851,216.20608099999984,17258,49613,76109,64121.57142857143,63979.53333333333,155.55392103392845,194.84855441374987
170,2023-06-06,53658,168.37828422499987,13958,49287,67616,63972.142857142855,64193.333333333336,153.45693378928559,193.8553056999999
171,2023-06-07,49199,160.99889961249988,14172,49621,63371,65717.0,64016.433333333334,158.64749436607127,189.91329818166653
172,2023-06-08,71769,179.63980599999988,14226,49271,85995,68766.42857142857,64741.066666666666,162.0751910910713,185.54144196958322
173,2023-06-09,93413,579.3963902499999,13464,49801,106877,75011.42857142857,66042.1,223.8613627410713,195.95956722249989
174,2023-06-10,67704,356.8422331374999,20485,49908,88189,78593.14285714286,66696.73333333334,254.45468613392845,200.4051287833332
175,2023-06-11,48798,122.78731703749988,11879,49039,60677,78404.85714285714,66657.5,254.89271589464275,195.12155060083322
176,2023-06-12,73475,484.3890779124997,21000,49548,94475,81028.57142857143,67820.2,293.2045725964284,207.12427749499986
177,2023-06-13,82618,265.34146157499987,19052,49943,101670,85893.42857142857,69168.63333333333,307.05645507499986,210.7125041833332
178,2023-06-14,74965,268.99664078749987,14948,49600,89913,89685.14285714286,69973.5,322.4847038142856,213.9128699512499
179,2023-06-15,97590,313.3250455999999,16567,50266,114157,93708.28571428571,71673.26666666666,341.5825951857141,217.37873724541654
180,2023-06-16,93870,250.29476502499983,14429,50084,108299,93911.42857142857,73171.93333333333,294.5680772964284,219.47490837166654
181,2023-06-17,92497,236.8699425999999,13484,49385,105981,96453.14285714286,74568.73333333334,277.42917864821413,220.87560308333323
182,2023-06-18,92581,200.3335322624999,12436,49883,105017,102787.42857142857,75974.83333333333,288.5072093946427,221.85354155499988
183,2023-06-19,93172,245.48612236249983,16347,49396,109519,104936.57142857143,77639.3,254.37821574464274,224.5841801158332
184,2023-06-20,86238,233.62633849999983,16340,50857,102578,105066.28571428571,79046.3,249.8474838767856,226.22580886166654
185,2023-06-21,81407,222.67237552499984,13778,48197,95185,105819.42857142857,80022.13333333333,243.22973169642842,227.60507890291652
186,2023-06-22,92185,295.9173813749999,17644,51156,109829,105201.14285714286,81389.9,240.74292252142843,226.02135686999983
187,2023-06-23,90051,330.1725325374999,16031,49998,106082,104884.42857142857,82783.9,252.1540321660713,228.96187250249986
188,2023-06-24,91897,537.0790810499998,20633,49494,112530,105820.0,84419.3,295.0410519446427,241.67834967499988
189,2023-06-25,55150,75.0602582874999,8470,48850,63620,99906.14285714286,84419.0,277.14486994821414,238.15744942583322
190,2023-06-26,49466,120.77681854999985,9327,49030,58793,92659.57142857143,84228.1,259.32925511785703,236.0793739158332
191,2023-06-27,49444,72.14489984999989,9665,48794,59109,86449.71428571429,84053.86666666667,236.26047816785697,231.91905223916652
192,2023-06-28,48434,136.0387832874999,8731,48835,57165,81018.28571428571,83849.93333333333,223.884250705357,231.5148478195832
193,2023-06-29,48821,193.8769703999999,8545,48218,57366,73523.57142857143,83473.4,209.30704913749986,231.8755070016665
194,2023-06-30,67602,409.1098782999997,16722,51305,84324,70415.28571428571,84578.96666666666,220.583812817857,241.35700375916653
195,2023-07-01,93303,305.63570811249986,17556,49379,110859,70176.57142857143,86119.3,187.52047382678555,246.3566630654165
196,2023-07-02,92967,254.5169886124999,12549,47670,105516,76161.71428571429,87531.1,213.15714958749984,249.94412306249987
197,2023-07-03,94154,260.70585693749985,16357,49701,110511,83550.0,89110.9,233.14701221428555,253.87801931416652
198,2023-07-04,90939,307.9910874624998,19370,51848,110309,90864.28571428571,90721.36666666667,266.83932473035696,260.1536852724999
199,2023-07-05,92850,253.36756822499987,16024,49222,108874,98251.28571428571,91813.53333333334,283.60057972142846,261.3924015133332
200,2023-07-06,93792,284.26337691249984,18699,48392,112491,106126.28571428571,93309.36666666667,296.5129235089284,265.25523793624984
201,2023-07-07,92596,336.5655027874999,16279,51356,108875,109633.57142857143,94826.16666666667,286.149441292857,271.1074580420832
202,2023-07-08,91979,200.0943084874999,16648,53121,108627,109314.71428571429,95580.56666666667,271.0720984892856,271.7892747916665
203,2023-07-09,92974,185.9718748999999,12577,49787,105551,109319.71428571429,95536.36666666667,261.2799393874999,258.67512427999986
204,2023-07-10,94250,329.93960486249983,16748,50382,110998,109389.28571428571,96296.66666666667,271.170474805357,257.7783700041665
