delegator,biweek,how_many_prep_voted,raffle_tickets
hx6d1285116376e3d554eedeacceffe92bd41d911e,2020-45 & 2020-46,11,1
hxdc41cf082fa82c11a82b5a94f3db2abb9333b491,2020-45 & 2020-46,11,1
hxdc8c68c62b0af5cbd78e2e718d09d1d804e22cb6,2020-45 & 2020-46,11,1
hxdd6b499ebf126dd89f89f32179cd879fee310eda,2020-45 & 2020-46,11,1
hx16efd676ccb794e3fe399c45abcba85df88f31d2,2020-45 & 2020-46,11,1
hx16db7e5e3ad6bed68ccec9c0da3c477d8acb67e9,2020-45 & 2020-46,11,1
hxe27f20d3e28a347f3c4a64067b0e27900027f4fe,2020-45 & 2020-46,11,1
hx11817efb1525bd5bfb1bc1997d9f9c25769912ff,2020-45 & 2020-46,11,1
hx159190b9a5d7adf7dc438d991be9f981f0f3fd32,2020-45 & 2020-46,11,1
hx149d3879d24e7fe5820b590f72fcae78ffbb0042,2020-45 & 2020-46,11,1
hxe6e6004acb4997c5897ceb0dc42f0cdd95c95737,2020-45 & 2020-46,11,1
hxebcd91115a92f651c8370d0bdccdcef3c9ceede2,2020-45 & 2020-46,11,1
hxec7582d72a3fdf7dca0674e2b6c073362b73e3ee,2020-45 & 2020-46,11,1
hx13561355865e509e32f7a27786a6763ba6b1c489,2020-45 & 2020-46,11,1
