delegator,week,how_many_prep_voted,raffle_tickets
hxcdaf4c545aa2d05e0a28f5ceb94ac8da1ac2f968,2020-41,11,1
hxcf094241cb2b58001ca4a14351ef5e073986d4a0,2020-41,11,1
hxe274e9b3202dc7548e068e57e040047e2b69e041,2020-41,11,1
hxe18ab669188c89d2957578f9c977c2f6afea5d44,2020-41,11,1
hx23e23494609de5cc1b6b65ff8d94b365eccda8af,2020-41,11,1
hx2471ee5bbaeb409021d77b67a5bf2a47ebc53ab5,2020-41,11,1
hxd6065022196e9be0026baa4b6ebed925102fa170,2020-41,11,1
hx2d6ceeb021b38d12152a74877e18d8ec353393b1,2020-41,11,1
hx2c3587cf4b4e35346708d3f2ea2abea567f6d77f,2020-41,11,1
hx2c96c461d907b088adddaf7a32d51b953b9543e3,2020-41,11,1
hxdc8c68c62b0af5cbd78e2e718d09d1d804e22cb6,2020-41,11,1
hxdc41cf082fa82c11a82b5a94f3db2abb9333b491,2020-41,11,1
hxdb4cecb5d86ca0cadbcbe6adad83eb5cd28154a3,2020-41,11,1
hxd32087b5cb414cca8af65d10efa339e72fc105d5,2020-41,11,1
hxda2f396c8f1a50df62b23c1c3d88342ce6939140,2020-41,11,1
hxd5629fb8fe7a0aeb703abb336002b09461f1341d,2020-41,11,1
hx26bd88215e9e5c09ccdde038d316bcad5095b30d,2020-41,11,1
hx2484cb6672d2b17b235788f15ec3192e9c9eef4c,2020-41,11,1
hx1d5f9d9ba461557f371e349854de83b66a4101c0,2020-41,11,1
hx1d86a35e84216a1eb0724a9209b7dfae1a98fc0a,2020-41,11,1
hxf015f787653f3d0c61d49e451e0b987bf487a86b,2020-41,11,1
hx03715c57dd9f82177e8a8cdd37abc58c2adac56a,2020-41,11,1
hx09af69310d44f5b75fd966e4df4ae4a659797fed,2020-41,11,1
hxfc7e2968bdb38ddfea72701660f981868cb1c614,2020-41,11,1
hxf96e48d75ef1b63808f23d8ab4f11314c2abc749,2020-41,11,1
hx0a636c959e4b43238340a653294cb64bc124be70,2020-41,11,1
hx13561355865e509e32f7a27786a6763ba6b1c489,2020-41,11,1
hxf754a10fab77d038fcaa4d1bdae2f4a602c22601,2020-41,11,1
hxf46bd1f322efcf99b24c037123b5037ac7986d82,2020-41,11,1
hxf3fd1a943fc432579c01b3b7cc7ca18276f347f9,2020-41,11,1
hx149d3879d24e7fe5820b590f72fcae78ffbb0042,2020-41,11,1
hx159190b9a5d7adf7dc438d991be9f981f0f3fd32,2020-41,11,1
hx16db7e5e3ad6bed68ccec9c0da3c477d8acb67e9,2020-41,11,1
hx331d28957167dcc3ccd8d7eaa5895667ad3eeca6,2020-41,11,1
hx16efd676ccb794e3fe399c45abcba85df88f31d2,2020-41,11,1
hxee289e9b7f9dae26ee3cdebd8e7a2468ec89dffa,2020-41,11,1
hx1a6fd1e633dcb583de2422bdbf3480d4208f1e40,2020-41,11,1
hx1c54d238842563de32cd0ad069a84c9914b7a3ad,2020-41,11,1
hxeca3e5e67128f9c15bc59b7b6b6687c1ef19ef55,2020-41,11,1
hxec7582d72a3fdf7dca0674e2b6c073362b73e3ee,2020-41,11,1
hxebcd91115a92f651c8370d0bdccdcef3c9ceede2,2020-41,11,1
hx1c9c39cc6ab3efd31048ea115119122fbc1d65a5,2020-41,11,1
hxe6e6004acb4997c5897ceb0dc42f0cdd95c95737,2020-41,11,1
hx1cc7b5fb2ddeb78cbac7e839837daf4e9fdc1009,2020-41,11,1
hx1ce6488ac66bf734e178eef733f2432682b532d8,2020-41,11,1
hx311d3b806221a6764f93dbc3030bf48ea26bb7e9,2020-41,11,1
hx930a0c5a56ee3cfb3139a440b6fd29a029aefba8,2020-41,11,1
