biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hxb38c61724a537235f9ce7b2fa1e498ce6b0bd0f9,19928.899117486144,14,1,45.67326183009513,2966.2089999999994,1498.3143,1423.492794106153,0.22918%,14.88396%,7.51830%,7.14286%
2020-45 & 2020-46,hx463b1ee3016d7244516413acc69de2f1cdb268fd,8047.867899999999,14,1,0.0,1049.7487,0.0,277.51268620689655,0.00000%,13.04381%,0.00000%,3.44828%
2020-45 & 2020-46,hx4816f2d7e86cb5b5d39c6cba12ea549ba2586f00,128338.34259999999,14,1,8163.5226,10196.5815,9253.2459,9167.02447142857,6.36094%,7.94508%,7.21004%,7.14286%
2020-45 & 2020-46,hx02e7a0938791fcbd5379740a3f7cdbd5c75c690e,2655.761,14,1,0.0,200.00000000000006,200.0,177.05073333333334,0.00000%,7.53080%,7.53080%,6.66667%
2020-45 & 2020-46,hxdbe63a2fca42c3caad4589c2f0a82a0fd6f27a44,8915.123627216564,14,1,276.4878558498548,1765.9938478685142,561.037330954563,636.7945448011832,3.10134%,19.80897%,6.29310%,7.14286%
2020-45 & 2020-46,hxe3dd8785da38941b2d6893b027502a586be5edb1,694.3269,14,1,27.7731,118.0355,45.131299999999996,49.59477857142857,4.00000%,16.99999%,6.50001%,7.14286%
2020-45 & 2020-46,hx9927cd105cb4f6de0139117b6be189ce07ca25ee,13198.2083,14,1,198.2083,1000.0,1000.0,942.7291642857143,1.50178%,7.57679%,7.57679%,7.14286%
2020-45 & 2020-46,hxed5e0d1bade8dc01084d0a68e0d370c41c69465d,20278.6617,14,1,201.3108,2509.8032,1702.8977499999999,1448.4758357142857,0.99272%,12.37657%,8.39749%,7.14286%
2020-45 & 2020-46,hxf21441902d03b9d6d761f9522a3e73edb86309b6,3.9068000000004384,14,1,0.09999999999979536,2.0,0.10000000000011444,0.27905714285717415,2.55964%,51.19279%,2.55964%,7.14286%
2020-45 & 2020-46,hx6b91200ebf1df682e2ebeb0279b1bdb611d66257,1606.2207,14,1,9.9,247.5,79.55,114.73005,0.61635%,15.40884%,4.95262%,7.14286%
2020-45 & 2020-46,hx5949b6be475b9d1417b1330ad55e9308d5e05bfb,11975.4543,14,1,582.9703,1399.1292,641.2674,855.3895928571428,4.86804%,11.68331%,5.35485%,7.14286%
2020-45 & 2020-46,hxfdb805565bde3986d4ef2ef22ddf1094e4019796,81375.66300000002,14,1,1960.0404000000003,7941.5622,5956.17165,5812.547357142858,2.40863%,9.75914%,7.31935%,7.14286%
2020-45 & 2020-46,hx614e597a1577f66fcd8988f88170de4c619a0573,2737.6921,14,1,30.2662,448.4864,176.43155000000002,195.54943571428572,1.10554%,16.38192%,6.44454%,7.14286%
2020-45 & 2020-46,hx1817d865895f7c394891ab0ac15ed3cdb781611d,3429.9999999999995,13,1,127.61764062368157,375.05101605876484,283.15327125929326,263.8461538461538,3.72063%,10.93443%,8.25520%,7.69231%
2020-45 & 2020-46,hx1858bb7d884b5a6a74ceaa63eca015ce184bc726,3244.3767680835244,13,1,19.8278,814.7835743907547,118.51369999999999,249.56744369873266,0.61114%,25.11372%,3.65290%,7.69231%
