validator,validator_name,date,votes
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-08,-203439.08072610688
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-09,134421.05276970365
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-10,254899.40527946907
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-11,-174566.47157264952
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-12,183120.34307687837
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-13,175421.3696686481
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-14,931045.4414582319
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-15,261072.87955418273
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-16,374641.0765576944
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-17,120994.39590282034
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-18,-322517.7151837339
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-19,128245.37334837022
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-20,141335.16913104086
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-21,145759.4619117374
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-22,70532.642211391
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-23,294986.8594712303
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-24,29444.447455300175
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-25,75192.08305242927
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-26,501430.9984447656
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-27,94898.07884406665
