address,name,country,city,logo
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,NLD,Heerlen,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconic Innovation.jpg
hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,GRD,Grenada,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONIST VOTE WISELY.png
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO,LVA,Riga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONLEO.png
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,KEN,Nairobi,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iconnect_global.jpg
hx30af89a52479d8ce8ac6682651203750d639a20f,ICONologist,DEU,Kassel,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONologist.png
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,Iconoscope,USA,Los Angeles,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconoscope.png
hxd6f20327d135cb0227230ab98792173a5c97b03e,ICONPLUS,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONPLUS.png
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,NLD,Amsterdam,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconserve.png
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONSG.png
hx55f2cc3244350085734f4e405f761ecf3d2095b3,iCONsolidation-S.Tech,HRV,Zagreb,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iCONsolidation.png
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONTROL.png
hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,ICONVIET,VNM,Ho Chi Minh,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONVIET.png
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,AUS,Melbourne and Adelaide,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Australia.png
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,BEL,Mechelen,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Belgium.jpg
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX FREEZER.png
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,MLT,Valletta,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Malta.png
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,ZAF,Johannesburg,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Stratos.jpg
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,ARE,Dubai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICXmerch.png
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/IFnLIFE.png
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/InfStones.png
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Insight,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Insight.png
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,INTERBLOCK,DEU,Munich,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/INTERBLOCK.png
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,USA,New York City,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/loop57.png
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,CHE,"ZURICH,WARSAW",https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/manifest-icon.png
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Metanyx.png
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos,BGR,Varna,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Midos.jpg
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Mineable.png
hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,MinerGate,FRA,Paris,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/MinerGate.png
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,mirai,SWE,karlshamn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/mirai.png
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/MouseBelt AC3.png
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,CHN,Shanghai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/MWnode.jpg
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,CHN,Shang Hai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/nel node.png
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/neo_icon.png
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,NLD,Amsterdam,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Newroad.png
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,CHN,Hangzhou,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Nodeasy.jpg
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/noris [New Node].png
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,SVN,Ljubljana,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/OneLife 9to5.png
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,USA,Oregon,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Orangebloc.png
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,SWE,Stockholm,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/PakChina.png
hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,Paradigm Citadel,CAN,Montreal,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Paradigm Citadel.png
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,NZL,Dunedin,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/PARROT9.png
